Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
122,Incarnate Word,33,17,16,.515,-6.47,-5.44,,9,11,,11,5,,4,10,,2407,2274,,65.1,111.2,.278,.362,.554,52.7,46.1,10.4,10.3,.533,15.1,35.8,.189
123,Indiana,32,19,13,.594,14.59,11.97,,10,10,,14,4,,4,6,,2389,2305,,69.1,107.7,.331,.332,.543,51.9,58.4,8.4,9.2,.511,14.4,31.5,.233
124,Indiana State,32,14,18,.438,-3.13,-0.63,,8,12,,8,6,,4,9,,2563,2545,,72.4,109.4,.344,.494,.585,50.6,57.2,9.3,5.9,.551,17.0,26.7,.258
125,Iona,34,17,17,.500,-8.30,-7.51,,12,8,,7,7,,7,7,,2369,2396,,68.6,100.9,.279,.347,.504,53.1,56.4,13.9,9.4,.475,17.3,39.1,.191
126,Iowa,33,17,16,.515,12.88,10.10,,7,13,,12,6,,2,8,,2722,2630,,71.4,115.1,.260,.410,.587,46.4,59.8,9.3,11.0,.568,12.2,25.1,.183
127,Iowa State NCAA,33,24,9,.727,23.04,10.73,,13,7,,15,2,,6,5,,2652,2246,,69.5,114.0,.385,.369,.585,52.7,53.9,13.3,10.2,.546,14.8,32.2,.291
128,IU Indy,32,10,22,.313,-11.51,-4.23,,6,14,,6,8,,4,12,,2402,2458,,66.8,112.0,.337,.469,.553,49.4,54.3,9.3,6.1,.516,13.1,31.9,.250
129,Jackson State,34,16,18,.471,-9.15,-6.00,,14,4,,8,1,,6,15,,2428,2535,,70.1,100.4,.375,.337,.521,50.1,49.7,10.0,9.6,.477,16.8,30.1,.274
130,Jacksonville,32,19,13,.594,-3.24,-3.27,,12,6,,11,3,,7,9,,2308,2273,,68.7,104.6,.289,.339,.527,52.3,51.6,11.3,12.7,.501,16.1,35.5,.197
131,Jacksonville State,34,22,12,.647,1.39,0.04,,12,6,,12,2,,7,7,,2511,2334,,65.9,111.2,.317,.370,.548,53.8,44.1,7.4,10.4,.510,12.9,31.7,.241
132,James Madison,32,20,12,.625,-1.62,-2.58,,13,5,,13,2,,5,8,,2365,2256,,65.9,111.2,.306,.443,.551,51.4,45.3,9.1,8.5,.516,13.6,32.1,.231
133,Kansas NCAA,33,21,12,.636,20.70,13.77,,11,9,,14,3,,4,8,,2515,2286,,69.1,109.0,.243,.343,.554,52.6,60.9,8.9,13.1,.531,14.5,30.4,.173
134,Kansas City,33,13,20,.394,-5.33,-2.71,,4,12,,9,5,,2,12,,2386,2218,,66.3,109.1,.321,.445,.545,53.4,49.9,11.2,10.1,.506,15.3,35.6,.244
135,Kansas State,33,16,17,.485,11.29,10.08,,9,11,,10,6,,3,9,,2337,2297,,67.9,103.9,.276,.402,.532,48.8,59.0,10.8,9.2,.506,15.4,29.4,.191
136,Kennesaw State,33,19,14,.576,0.77,1.10,,10,8,,12,3,,5,8,,2526,2417,,71.6,106.1,.368,.458,.539,54.2,51.2,9.2,11.6,.501,16.1,34.4,.265
137,Kent State,33,22,11,.667,0.88,-3.25,,11,7,,11,4,,8,5,,2433,2256,,67.7,108.6,.299,.379,.532,53.4,47.5,11.2,10.2,.496,14.4,36.3,.224
138,Kentucky NCAA,33,22,11,.667,21.61,14.18,,10,8,,15,3,,4,6,,2815,2570,,72.7,117.0,.359,.417,.592,52.4,56.7,9.3,11.3,.560,13.3,28.7,.265
139,La Salle,33,14,19,.424,-3.05,1.60,,5,13,,10,5,,2,10,,2376,2465,,69.6,103.1,.307,.335,.507,50.0,45.9,10.3,10.1,.469,13.1,31.0,.223
140,Lafayette,33,13,20,.394,-9.90,-8.06,,7,11,,10,6,,3,14,,2261,2274,,65.9,102.8,.304,.406,.533,48.6,60.1,8.7,9.8,.506,14.6,25.0,.208
141,Lamar,33,20,13,.606,-2.20,-2.67,,14,6,,10,4,,9,6,,2306,2170,,66.8,104.2,.284,.330,.513,52.4,58.6,11.1,14.2,.485,15.5,36.0,.195
142,Le Moyne,32,9,23,.281,-17.54,-8.07,,4,12,,6,7,,2,16,,2371,2566,,69.0,104.6,.367,.414,.560,47.9,55.0,9.8,6.1,.529,17.3,26.9,.259
143,Lehigh,30,11,19,.367,-10.03,-6.46,,6,12,,8,5,,3,14,,2110,2143,,67.3,103.6,.312,.379,.546,47.5,52.9,8.5,5.7,.521,14.3,22.2,.213
144,Liberty NCAA,34,28,6,.824,8.22,-1.39,,13,5,,12,3,,9,2,,2603,2138,,67.0,113.8,.293,.485,.602,49.2,61.2,9.8,7.7,.589,13.7,20.7,.194
145,Lindenwood,33,16,17,.485,-13.01,-7.11,,10,10,,11,3,,3,12,,2348,2354,,70.6,99.3,.358,.342,.506,49.3,44.2,11.7,10.9,.470,15.2,30.4,.243
146,Lipscomb NCAA,34,25,9,.735,5.06,-4.88,,14,4,,15,3,,10,6,,2697,2289,,68.0,116.2,.306,.472,.593,51.4,54.7,10.2,8.0,.558,12.5,25.7,.243
147,Little Rock,33,19,14,.576,-6.72,-7.52,,12,8,,9,5,,9,7,,2287,2219,,68.1,101.1,.289,.308,.531,48.2,53.0,13.2,16.4,.502,17.5,30.6,.204
148,Long Beach State,32,7,25,.219,-9.82,-0.05,,3,17,,3,11,,4,11,,2152,2374,,65.9,100.8,.360,.368,.541,48.3,49.5,8.5,8.5,.498,18.8,29.7,.272
149,Long Island University,33,17,16,.515,-10.70,-9.70,,12,4,,10,5,,7,9,,2235,2156,,65.5,101.5,.271,.340,.518,52.8,46.7,12.2,11.5,.488,16.6,33.6,.195
150,Longwood,32,18,14,.563,-4.43,-4.85,,7,9,,12,4,,5,7,,2504,2371,,70.6,110.8,.454,.339,.563,52.2,50.4,10.8,6.5,.519,15.2,33.1,.330
151,Louisiana,33,12,21,.364,-10.65,-2.28,,8,10,,5,12,,6,5,,2159,2410,,66.7,97.4,.305,.380,.497,44.4,44.9,11.0,8.4,.458,14.1,26.2,.222
152,Louisiana State,32,14,18,.438,10.26,10.01,,3,15,,11,7,,2,8,,2363,2355,,69.5,105.0,.325,.435,.543,48.5,48.8,10.1,11.7,.511,16.1,29.5,.232
153,Louisiana Tech,32,20,12,.625,1.77,-0.40,,9,9,,11,4,,5,7,,2364,2188,,66.6,109.1,.342,.410,.571,53.0,58.4,9.5,11.5,.536,16.3,30.3,.256
154,Louisiana-Monroe,32,7,25,.219,-15.02,-4.22,,3,15,,5,11,,2,12,,2205,2417,,68.7,99.6,.309,.343,.501,49.1,52.8,10.3,7.0,.464,14.5,30.2,.220
155,Louisville NCAA,34,27,7,.794,19.29,9.61,,18,2,,14,3,,9,2,,2672,2343,,69.0,113.5,.345,.481,.569,52.9,51.9,9.3,8.1,.534,14.2,32.2,.257
156,Loyola (IL),33,22,11,.667,3.75,0.34,,12,6,,16,1,,5,5,,2426,2265,,67.5,107.6,.324,.420,.554,51.7,60.8,9.4,13.4,.532,15.5,30.2,.215
157,Loyola (MD),31,12,19,.387,-11.58,-8.22,,6,12,,7,7,,5,12,,2145,2205,,67.0,102.8,.295,.396,.529,50.3,55.0,10.7,7.9,.500,15.5,29.3,.206
158,Loyola Marymount,32,17,15,.531,1.47,3.21,,8,10,,11,6,,3,8,,2279,2290,,68.7,103.6,.285,.404,.537,47.0,51.5,8.4,10.3,.507,13.6,22.9,.206
159,Maine,34,20,14,.588,-6.28,-8.09,,10,6,,10,3,,8,11,,2409,2248,,67.1,105.2,.281,.329,.551,46.1,56.4,13.5,10.3,.521,13.9,23.1,.206
160,Manhattan,30,17,13,.567,-7.25,-8.22,,12,8,,9,5,,8,7,,2280,2235,,67.4,110.4,.313,.417,.549,50.9,57.1,9.2,7.1,.510,14.6,33.2,.241
161,Marist,30,20,10,.667,-8.69,-10.19,,13,7,,11,4,,9,5,,1979,1934,,64.2,101.5,.224,.376,.522,52.7,55.8,8.9,9.7,.499,15.9,30.6,.158
162,Marquette NCAA,33,23,10,.697,18.88,10.55,,13,7,,14,3,,7,6,,2537,2262,,68.1,112.0,.261,.463,.547,48.8,49.5,13.2,10.9,.520,11.7,30.1,.188
163,Marshall,33,20,13,.606,-2.17,-4.43,,12,6,,14,3,,5,9,,2499,2366,,69.2,109.0,.341,.403,.537,51.6,54.6,9.6,14.2,.505,14.1,33.5,.236
164,Maryland NCAA,33,25,8,.758,23.53,8.86,,14,6,,17,2,,5,5,,2695,2211,,70.7,115.1,.329,.355,.573,52.3,50.4,11.1,12.0,.538,12.6,31.0,.249
165,Maryland-Baltimore County,32,13,19,.406,-11.24,-7.90,,5,11,,8,9,,5,10,,2559,2522,,71.6,110.0,.312,.387,.581,45.5,50.5,10.1,6.4,.559,14.2,22.0,.216
166,Maryland-Eastern Shore,31,6,25,.194,-20.48,-4.30,,2,12,,5,7,,1,17,,2090,2410,,68.7,98.2,.349,.367,.515,47.5,48.9,7.7,5.6,.484,17.0,27.8,.232
167,Massachusetts,32,12,20,.375,-2.48,0.75,,7,11,,8,8,,4,7,,2333,2399,,71.0,101.2,.342,.321,.489,51.2,49.1,10.8,13.4,.455,13.6,34.8,.227
168,Massachusetts-Lowell,32,17,15,.531,-7.33,-7.30,,6,10,,14,4,,3,11,,2543,2371,,70.3,112.2,.341,.347,.594,52.0,53.7,8.3,10.4,.558,15.8,27.5,.263
169,McNeese State NCAA,33,27,6,.818,8.88,-2.35,,19,1,,13,1,,10,2,,2549,2113,,66.4,116.4,.352,.369,.574,52.7,51.0,13.6,11.4,.546,13.9,35.1,.250
170,Memphis NCAA,34,29,5,.853,12.61,5.69,,16,2,,13,2,,11,2,,2725,2490,,71.3,111.2,.394,.331,.568,52.1,52.0,10.8,13.1,.536,16.4,35.1,.277
171,Mercer,33,14,19,.424,-8.36,-5.03,,6,12,,7,6,,5,11,,2511,2485,,72.4,103.9,.289,.402,.522,50.6,47.4,11.5,7.8,.500,14.2,29.7,.189
172,Mercyhurst,31,15,16,.484,-15.36,-9.39,,9,7,,11,2,,4,14,,2105,2167,,65.4,102.6,.308,.358,.539,44.8,57.0,11.1,6.9,.494,14.6,23.8,.247
173,Merrimack,33,18,15,.545,-4.37,-5.77,,14,6,,8,5,,9,8,,2166,2120,,64.7,100.7,.244,.429,.521,41.3,49.7,14.6,10.6,.494,12.5,20.8,.177
174,Miami (FL),31,7,24,.226,0.65,7.30,,3,17,,7,10,,0,10,,2294,2500,,67.6,108.6,.264,.385,.551,48.2,47.0,9.4,9.6,.519,14.0,28.2,.202
175,Miami (OH),34,25,9,.735,-0.84,-5.28,,14,4,,15,1,,6,7,,2740,2473,,70.6,113.8,.275,.447,.592,50.4,55.8,11.3,10.3,.570,15.1,28.4,.199
176,Michigan NCAA,34,25,9,.735,20.16,13.13,,14,6,,13,3,,7,3,,2661,2422,,70.6,110.1,.350,.425,.577,53.3,58.5,7.7,9.3,.545,17.2,33.2,.255
177,Michigan State NCAA,33,27,6,.818,22.46,11.56,,17,3,,15,1,,8,2,,2579,2219,,69.2,112.5,.378,.327,.559,56.4,61.6,7.9,13.3,.512,14.2,35.3,.296
178,Middle Tennessee,33,22,11,.667,2.96,1.21,,12,6,,11,4,,8,5,,2505,2357,,69.2,108.0,.328,.392,.540,51.7,45.5,9.4,11.3,.514,13.9,31.5,.220
179,Milwaukee,32,21,11,.656,0.36,-3.78,,14,6,,13,3,,7,8,,2510,2295,,69.9,111.4,.382,.316,.548,56.8,50.4,10.9,9.4,.517,15.6,40.5,.261
180,Minnesota,32,15,17,.469,8.51,10.16,,7,13,,10,9,,5,5,,2178,2231,,63.8,104.6,.315,.359,.525,49.4,61.3,9.3,12.9,.499,14.3,30.2,.209
181,Mississippi NCAA,33,22,11,.667,17.92,12.47,,10,8,,13,3,,5,6,,2547,2367,,69.3,110.5,.356,.402,.549,46.7,53.5,12.6,12.4,.511,11.3,25.4,.263
182,Mississippi State NCAA,33,21,12,.636,17.53,11.92,,8,10,,10,5,,6,5,,2632,2447,,69.7,113.1,.316,.423,.546,51.7,53.3,13.1,14.3,.517,12.7,34.1,.221
183,Mississippi Valley State,31,3,28,.097,-34.30,-4.48,,1,17,,2,9,,1,19,,1678,2506,,66.6,81.3,.307,.302,.467,43.1,42.3,9.0,5.4,.434,21.8,23.4,.203
184,Missouri NCAA,33,22,11,.667,20.39,9.78,,10,8,,18,2,,3,7,,2787,2437,,69.9,120.3,.468,.415,.599,51.1,49.5,13.4,7.5,.562,13.2,33.7,.340
185,Missouri State,32,9,23,.281,-3.88,0.58,,2,18,,7,8,,1,12,,2175,2268,,64.6,102.4,.347,.368,.538,51.3,50.3,11.1,8.1,.513,17.8,32.0,.228
186,Monmouth,33,13,20,.394,-7.88,-2.85,,10,8,,8,2,,4,14,,2321,2487,,67.3,103.3,.367,.346,.518,47.3,49.6,8.7,12.7,.472,14.0,29.8,.273
187,Montana NCAA,34,25,9,.735,-1.14,-1.92,,15,3,,15,1,,7,8,,2614,2480,,68.0,112.7,.354,.370,.598,49.4,49.1,9.2,8.5,.568,14.5,23.8,.260
188,Montana State,33,15,18,.455,-2.39,-2.33,,9,9,,11,3,,3,14,,2354,2298,,66.7,106.6,.311,.432,.559,47.0,52.1,9.5,9.1,.529,13.5,21.6,.226
189,Morehead State,32,15,17,.469,-13.51,-7.37,,10,10,,9,5,,6,10,,2116,2199,,65.8,100.2,.370,.345,.506,53.3,49.7,8.5,7.0,.470,15.3,31.9,.250
190,Morgan State,32,14,18,.438,-14.89,-8.32,,7,7,,11,4,,2,13,,2559,2584,,73.0,108.2,.356,.219,.551,50.1,43.7,9.4,11.3,.514,15.7,34.7,.259
191,Mount St. Mary's NCAA,34,22,12,.647,-7.79,-7.28,,12,8,,10,4,,9,8,,2392,2373,,68.0,102.0,.316,.410,.547,53.1,60.7,8.9,8.2,.514,19.1,31.5,.232
192,Murray State,33,16,17,.485,0.84,0.43,,9,11,,7,5,,6,8,,2371,2282,,65.8,106.7,.412,.400,.544,51.0,49.7,9.9,8.1,.502,14.7,29.4,.297
193,Navy,34,15,19,.441,-9.61,-8.48,,10,8,,9,5,,6,12,,2407,2393,,66.8,105.5,.334,.372,.525,51.5,54.0,9.7,8.2,.486,13.8,31.4,.245
194,NC State,31,12,19,.387,5.88,6.69,,5,15,,12,6,,0,11,,2158,2183,,65.8,105.4,.323,.362,.520,47.2,51.6,9.8,10.2,.483,12.5,28.8,.234
195,Nebraska,31,17,14,.548,12.97,10.46,,7,13,,10,6,,5,7,,2337,2259,,68.9,107.7,.360,.385,.555,49.6,52.5,10.1,9.1,.515,14.3,26.8,.269
196,Nevada,33,17,16,.515,9.74,5.56,,8,12,,11,6,,3,8,,2386,2248,,64.9,110.6,.373,.375,.568,50.7,58.8,9.5,12.4,.537,13.8,27.4,.262
197,Nevada-Las Vegas,33,18,15,.545,7.03,5.91,,11,9,,12,5,,5,7,,2285,2248,,66.0,104.9,.358,.346,.535,49.1,49.6,9.9,11.5,.497,14.1,27.3,.257
198,New Hampshire,32,8,24,.250,-19.51,-7.18,,6,10,,6,7,,2,15,,2124,2450,,69.0,96.2,.268,.409,.503,47.9,46.5,8.2,6.7,.479,16.7,27.9,.177
199,New Mexico NCAA,33,26,7,.788,15.15,5.96,,17,3,,16,1,,7,4,,2681,2335,,73.2,110.2,.372,.323,.546,52.7,52.2,12.0,14.2,.515,13.3,31.9,.255
200,New Mexico State,32,17,15,.531,1.17,0.72,,10,8,,9,6,,8,6,,2229,2110,,67.1,103.4,.334,.375,.508,52.8,47.4,9.5,7.3,.475,13.7,33.2,.225
201,New Orleans,31,4,27,.129,-15.16,-0.61,,2,18,,0,11,,3,15,,2105,2556,,69.5,96.9,.339,.307,.493,47.7,50.1,10.4,7.1,.459,16.0,31.6,.227
202,Niagara,31,11,20,.355,-12.53,-8.30,,6,14,,6,7,,3,13,,2122,2214,,65.2,103.7,.307,.429,.558,48.3,52.2,9.4,6.5,.526,16.7,23.8,.227
203,Nicholls State,33,20,13,.606,-2.21,-2.54,,13,7,,11,4,,8,8,,2443,2296,,68.9,106.6,.329,.360,.522,50.1,43.0,11.6,10.6,.490,13.0,31.4,.226
204,NJIT,31,6,25,.194,-17.64,-7.57,,3,13,,4,9,,1,16,,2023,2269,,67.1,96.8,.271,.379,.494,48.6,43.0,7.1,9.6,.458,15.5,29.1,.198
205,Norfolk State NCAA,34,24,10,.706,-3.63,-7.50,,11,3,,11,1,,8,9,,2627,2345,,68.2,112.4,.388,.288,.577,51.8,50.3,10.1,9.1,.537,15.6,32.6,.293
206,North Alabama,34,24,10,.706,1.63,-5.37,,14,4,,16,1,,7,9,,2691,2400,,67.6,116.2,.315,.351,.550,52.3,42.4,11.2,9.8,.522,10.8,34.1,.222
207,North Carolina NCAA,35,22,13,.629,17.16,11.33,,13,7,,12,3,,6,6,,2828,2624,,70.8,113.4,.348,.370,.575,52.1,51.0,8.3,9.7,.542,13.3,29.2,.257
208,North Carolina A&T,32,7,25,.219,-13.00,-4.03,,3,15,,5,9,,2,15,,2213,2439,,69.5,99.5,.313,.366,.497,47.6,45.3,8.9,8.0,.464,13.3,27.3,.215
209,North Carolina Central,33,14,19,.424,-12.68,-7.82,,6,8,,10,4,,2,13,,2600,2501,,70.3,110.3,.381,.347,.552,50.0,56.8,11.7,6.5,.520,15.7,37.2,.265
210,North Dakota,33,12,21,.364,-7.08,-1.18,,5,11,,8,6,,2,12,,2550,2624,,70.4,109.8,.328,.402,.533,51.9,45.1,8.1,6.9,.500,13.6,34.1,.232
211,North Dakota State,32,21,11,.656,1.43,-3.26,,10,6,,11,4,,8,6,,2595,2386,,66.4,120.2,.334,.523,.613,51.3,55.1,5.4,4.9,.581,13.6,28.2,.259
212,North Florida,32,15,17,.469,-7.99,-3.26,,8,10,,8,6,,7,10,,2651,2712,,73.2,111.9,.243,.540,.559,47.1,55.2,8.5,7.1,.540,13.1,28.7,.167
213,North Texas,32,24,8,.750,7.83,0.50,,14,4,,15,1,,7,5,,2179,1910,,61.1,111.5,.367,.373,.562,53.3,45.5,12.5,8.0,.518,14.6,33.5,.284
214,Northeastern,32,17,15,.531,-4.34,-4.78,,9,9,,8,5,,7,8,,2243,2229,,67.1,104.4,.280,.348,.536,50.1,49.7,11.3,12.6,.511,16.0,31.4,.193
215,Northern Arizona,33,18,15,.545,-6.04,-5.45,,8,10,,10,5,,7,8,,2503,2350,,68.1,111.4,.296,.378,.542,54.0,53.5,8.9,4.4,.521,12.7,32.7,.195
216,Northern Colorado,34,25,9,.735,1.60,-3.82,,15,3,,13,2,,9,6,,2750,2463,,68.8,116.3,.332,.388,.608,53.3,54.1,8.8,6.3,.584,14.1,26.1,.241
217,Northern Illinois,31,6,25,.194,-16.46,-4.38,,2,16,,5,10,,1,15,,2199,2383,,70.9,98.9,.302,.479,.522,44.4,51.3,8.5,9.9,.490,14.4,19.5,.213
218,Northern Iowa,32,20,12,.625,5.35,0.10,,14,6,,14,3,,5,5,,2355,2150,,65.5,112.0,.352,.355,.581,51.5,52.2,9.0,9.3,.555,14.2,26.4,.246
219,Northern Kentucky,33,17,16,.515,-4.79,-3.14,,11,9,,12,6,,5,10,,2371,2377,,67.4,104.9,.314,.397,.530,49.2,54.8,11.3,9.4,.504,15.1,32.0,.210
220,Northwestern,33,17,16,.515,14.51,11.24,,7,13,,12,5,,2,9,,2390,2282,,66.1,107.9,.313,.342,.533,49.8,55.8,10.3,10.7,.498,12.8,31.2,.230
221,Northwestern State,32,16,16,.500,-5.06,-1.43,,12,8,,9,5,,6,10,,2146,2204,,64.8,102.7,.327,.359,.529,50.8,53.8,10.4,12.5,.494,17.2,33.6,.234
222,Notre Dame,33,15,18,.455,7.42,7.27,,8,12,,11,5,,3,9,,2397,2392,,65.4,108.2,.318,.375,.551,51.9,44.2,8.3,5.1,.517,14.4,29.6,.235
223,Oakland,34,16,18,.471,-2.69,-0.97,,11,9,,9,4,,6,11,,2402,2436,,64.6,106.9,.312,.425,.531,51.1,51.1,9.9,8.7,.501,15.2,34.8,.218
224,Ohio,32,16,16,.500,-2.53,-4.27,,10,8,,12,3,,3,10,,2554,2449,,71.6,110.6,.330,.402,.576,48.1,50.1,10.0,7.4,.541,13.6,24.1,.251
225,Ohio State,32,17,15,.531,17.88,12.60,,9,11,,11,6,,4,7,,2522,2353,,68.5,112.4,.358,.377,.572,49.7,48.1,9.3,10.0,.535,13.7,28.9,.268
226,Oklahoma NCAA,33,20,13,.606,15.42,11.42,,6,12,,12,5,,2,7,,2602,2470,,70.0,112.6,.396,.419,.595,48.4,52.0,11.2,6.8,.549,15.4,26.5,.315
227,Oklahoma State,32,15,17,.469,6.86,10.76,,7,13,,12,3,,2,10,,2323,2448,,71.8,101.1,.416,.351,.528,50.1,51.7,12.5,8.6,.483,16.6,31.0,.301
228,Old Dominion,35,15,20,.429,-9.56,-4.10,,8,10,,7,9,,5,7,,2376,2502,,66.2,101.8,.316,.358,.487,51.7,44.0,8.3,9.0,.447,14.1,36.5,.226
229,Omaha NCAA,34,22,12,.647,-1.08,-2.86,,13,3,,11,2,,7,9,,2654,2551,,69.2,112.7,.366,.390,.571,52.1,49.3,8.6,7.5,.537,13.8,29.1,.265
230,Oral Roberts,30,7,23,.233,-11.42,-0.49,,3,13,,7,7,,0,15,,2200,2356,,68.3,106.9,.348,.457,.557,46.5,41.5,7.2,6.7,.519,15.0,24.5,.262
231,Oregon NCAA,33,24,9,.727,17.49,12.21,,12,8,,12,4,,7,4,,2515,2341,,68.6,109.9,.334,.386,.561,51.4,54.4,10.3,10.1,.522,14.2,30.6,.255
232,Oregon State,32,20,12,.625,8.78,2.16,,10,8,,15,3,,3,7,,2441,2200,,65.0,116.0,.383,.355,.592,53.2,55.3,10.0,9.6,.549,14.5,32.1,.301
233,Pacific,33,9,24,.273,-6.84,2.36,,4,14,,5,10,,2,13,,2295,2500,,68.2,101.3,.326,.375,.528,50.7,51.4,8.3,8.3,.491,16.6,29.5,.236
234,Penn State,31,16,15,.516,13.62,7.75,,6,14,,11,6,,3,8,,2452,2270,,71.0,111.4,.379,.362,.580,50.2,57.8,11.4,11.3,.541,15.4,28.6,.287
235,Pennsylvania,27,8,19,.296,-10.26,-2.45,,4,10,,5,8,,3,10,,1878,2089,,67.5,102.6,.289,.444,.523,48.3,55.7,7.3,4.7,.494,14.3,26.8,.202
236,Pepperdine,35,13,22,.371,-2.57,2.81,,4,14,,7,9,,2,11,,2560,2681,,69.5,105.3,.314,.347,.535,49.4,60.1,8.8,7.3,.503,13.9,28.2,.225
237,Pittsburgh,32,17,15,.531,13.59,8.56,,8,12,,13,4,,3,9,,2428,2267,,66.8,112.6,.342,.414,.564,49.5,51.4,10.8,12.5,.522,12.9,29.0,.267
238,Portland,32,12,20,.375,-7.09,2.37,,7,11,,9,7,,3,9,,2334,2574,,69.5,103.4,.316,.428,.551,47.9,61.6,6.6,8.1,.511,16.1,24.1,.245
239,Portland State,32,19,13,.594,-4.06,-4.92,,11,7,,13,1,,5,10,,2418,2227,,69.9,107.6,.321,.318,.543,52.4,51.3,11.7,14.0,.525,15.5,34.2,.202
240,Prairie View,32,5,27,.156,-19.12,-7.12,,4,14,,3,7,,2,19,,2286,2637,,71.7,99.6,.341,.337,.522,41.8,47.6,11.3,8.1,.489,14.8,24.8,.236
241,Presbyterian,32,14,18,.438,-6.49,-4.35,,7,9,,8,5,,4,12,,2379,2263,,66.4,110.6,.318,.343,.557,50.4,48.8,10.0,8.9,.531,13.7,30.2,.221
242,Princeton,30,19,11,.633,-2.59,-2.23,,8,6,,9,4,,7,4,,2209,2162,,68.6,107.4,.240,.487,.544,50.0,57.5,10.7,6.5,.520,13.3,27.1,.171
