Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
243,Providence,32,12,20,.375,7.52,8.68,,6,14,,10,6,,2,9,,2283,2320,,66.6,106.6,.296,.455,.546,52.8,51.2,7.4,9.2,.521,16.3,33.2,.203
244,Purdue NCAA,33,22,11,.667,20.68,13.89,,13,7,,14,2,,5,6,,2570,2346,,66.6,117.0,.346,.381,.592,51.1,57.7,9.8,5.3,.563,13.6,31.0,.253
245,Purdue Fort Wayne,32,19,13,.594,-1.02,-4.08,,12,8,,12,2,,6,10,,2583,2388,,70.5,113.2,.284,.455,.582,45.0,47.3,12.2,7.9,.554,12.1,22.4,.213
246,Queens (NC),33,19,14,.576,-4.77,-4.55,,11,7,,9,5,,9,9,,2527,2445,,69.8,108.4,.344,.450,.551,51.5,60.0,9.3,14.2,.523,15.3,31.7,.236
247,Quinnipiac,33,20,13,.606,-5.64,-7.42,,15,5,,12,2,,7,10,,2439,2358,,71.6,102.9,.313,.379,.524,53.9,52.7,11.5,12.3,.482,15.4,33.3,.239
248,Radford,33,20,13,.606,-2.49,-3.20,,9,7,,10,3,,7,9,,2441,2314,,64.9,113.1,.398,.366,.566,53.1,45.4,8.5,9.4,.521,14.8,34.6,.304
249,Rhode Island,31,18,13,.581,1.60,-0.37,,7,11,,14,3,,1,9,,2419,2328,,71.2,108.3,.426,.378,.565,51.3,51.9,8.2,8.9,.531,15.8,28.9,.296
250,Rice,32,13,19,.406,-1.84,-1.88,,4,14,,7,8,,4,8,,2249,2249,,65.9,105.8,.434,.387,.524,52.3,50.7,7.0,8.4,.485,15.0,33.7,.296
251,Richmond,32,10,22,.313,-4.89,2.04,,5,13,,6,9,,2,11,,2137,2302,,64.8,100.7,.311,.457,.534,46.5,51.2,9.0,7.1,.489,14.0,19.6,.246
252,Rider,33,14,19,.424,-11.82,-7.00,,9,11,,5,7,,8,11,,2211,2370,,65.3,102.6,.296,.301,.512,50.4,51.1,8.2,9.1,.477,14.6,32.2,.214
253,Robert Morris NCAA,34,26,8,.765,-0.05,-5.81,,15,5,,16,2,,8,6,,2613,2395,,68.6,110.0,.384,.367,.553,53.5,60.5,9.1,12.1,.515,15.8,35.6,.277
254,Rutgers,32,15,17,.469,10.45,10.98,,8,12,,11,5,,3,8,,2465,2482,,69.4,108.8,.362,.363,.542,49.1,47.7,9.9,10.2,.506,13.3,30.8,.260
255,Sacramento State,32,7,25,.219,-13.70,-3.67,,3,15,,5,11,,2,13,,2119,2257,,66.1,100.2,.311,.458,.530,50.2,56.0,9.0,10.5,.504,17.4,27.7,.210
256,Sacred Heart,33,15,18,.455,-8.73,-8.14,,10,10,,8,5,,5,11,,2502,2481,,70.0,107.8,.262,.445,.544,50.9,61.1,10.5,8.6,.516,15.0,31.8,.192
257,Saint Francis (PA) NCAA,33,16,17,.485,-12.53,-7.07,,8,8,,10,4,,6,13,,2347,2363,,67.1,104.0,.231,.420,.555,49.7,53.4,9.3,7.0,.532,16.7,26.4,.168
258,Saint Joseph's,34,22,12,.647,8.06,1.33,,11,7,,13,4,,4,6,,2562,2333,,68.2,109.6,.323,.465,.556,52.0,56.4,9.4,13.7,.521,14.4,30.4,.240
259,Saint Louis,33,19,14,.576,4.30,2.46,,11,7,,14,3,,4,8,,2449,2320,,68.2,107.9,.304,.503,.585,50.3,57.1,9.3,8.3,.565,16.7,23.9,.209
260,Saint Mary's (CA) NCAA,33,28,5,.848,17.74,5.74,,17,1,,16,1,,9,1,,2426,2002,,63.7,114.6,.312,.336,.538,57.8,57.2,9.7,10.3,.510,12.5,40.4,.217
261,Saint Peter's,28,12,16,.429,-10.36,-8.18,,7,13,,6,6,,6,10,,1848,1842,,65.0,100.6,.343,.382,.502,53.2,46.3,10.3,10.7,.458,17.2,37.7,.254
262,Sam Houston,32,13,19,.406,-2.59,1.58,,6,12,,9,4,,3,13,,2411,2433,,69.1,107.8,.357,.384,.556,50.3,49.8,9.2,8.4,.520,15.7,31.1,.259
263,Samford,32,22,10,.688,1.57,-3.87,,12,6,,13,3,,9,6,,2667,2406,,72.0,114.9,.288,.460,.571,50.5,55.7,13.7,11.9,.546,14.9,35.3,.208
264,San Diego,33,6,27,.182,-8.06,1.94,,2,16,,5,13,,0,12,,2314,2629,,71.6,98.0,.306,.357,.501,47.9,45.9,10.4,10.2,.459,16.0,30.1,.230
265,San Diego State NCAA,30,21,9,.700,13.77,8.04,,14,6,,12,3,,6,4,,2126,1909,,66.2,106.1,.314,.400,.536,50.0,51.3,11.5,18.7,.511,14.2,29.8,.209
266,San Francisco,33,24,9,.727,10.96,4.21,,13,5,,16,2,,5,5,,2505,2273,,68.9,109.7,.346,.434,.561,50.7,51.9,9.7,9.4,.530,14.9,29.3,.246
267,San Jose State,34,15,19,.441,0.82,4.38,,7,13,,7,8,,3,9,,2455,2495,,67.1,106.4,.303,.411,.550,49.0,51.0,8.7,8.0,.517,15.0,28.1,.224
268,Santa Clara,32,20,12,.625,13.15,4.71,,12,6,,11,4,,6,5,,2601,2331,,70.0,114.8,.289,.468,.581,53.4,58.5,9.3,8.5,.555,14.7,32.8,.210
269,Seattle,32,14,18,.438,0.14,-1.00,,8,8,,9,5,,4,11,,2254,2125,,67.9,103.7,.426,.369,.521,50.8,51.7,11.9,9.9,.474,14.4,30.3,.305
270,Seton Hall,32,7,25,.219,0.05,8.67,,2,18,,5,11,,0,11,,1970,2246,,64.7,94.0,.329,.305,.481,47.8,50.7,12.4,11.9,.447,16.4,31.2,.218
271,Siena,32,14,18,.438,-7.13,-7.25,,9,11,,9,5,,4,10,,2311,2307,,67.6,105.2,.373,.399,.537,48.7,48.3,10.0,13.3,.494,15.0,28.8,.277
272,South Alabama,32,21,11,.656,1.49,-4.14,,13,5,,13,4,,8,6,,2334,2066,,64.2,110.9,.335,.457,.549,49.5,56.6,14.2,11.4,.518,12.3,29.0,.236
273,South Carolina,32,12,20,.375,10.23,11.89,,2,16,,10,8,,1,10,,2233,2286,,66.8,103.7,.433,.390,.534,51.6,54.7,8.4,7.8,.489,15.9,30.4,.310
274,South Carolina State,33,20,13,.606,-4.36,-8.80,,11,3,,10,2,,7,10,,2624,2324,,71.5,110.3,.429,.336,.566,52.6,57.0,13.2,9.8,.529,16.8,36.6,.304
275,South Carolina Upstate,32,6,26,.188,-15.46,-2.49,,2,14,,4,10,,2,14,,2393,2673,,74.1,100.9,.312,.374,.537,47.3,48.4,10.2,6.3,.511,16.9,25.8,.211
276,South Dakota,33,19,14,.576,-5.44,-3.24,,9,7,,14,2,,4,11,,2812,2763,,74.7,114.1,.440,.385,.553,47.5,40.4,10.1,8.6,.511,11.1,30.8,.314
277,South Dakota State,32,20,12,.625,2.48,-1.49,,11,5,,13,1,,4,8,,2546,2352,,69.7,114.2,.306,.408,.574,56.5,49.4,6.7,8.2,.543,14.8,33.8,.229
278,South Florida,32,13,19,.406,-1.85,0.12,,6,12,,9,6,,2,10,,2381,2385,,69.7,105.9,.344,.374,.539,47.6,54.6,11.8,9.6,.503,13.8,28.3,.248
279,Southeast Missouri State,33,21,12,.636,-4.68,-7.65,,15,5,,12,3,,8,7,,2442,2212,,69.7,105.4,.279,.368,.546,49.2,49.7,11.6,9.6,.518,13.6,25.2,.202
280,Southeastern Louisiana,32,18,14,.563,-4.06,-4.73,,12,8,,8,4,,9,8,,2324,2232,,67.5,106.7,.346,.319,.538,51.5,45.9,10.2,7.3,.497,14.7,31.5,.259
281,Southern,32,20,12,.625,-6.73,-7.80,,15,3,,11,1,,9,10,,2392,2184,,70.6,105.1,.370,.338,.522,53.7,48.9,13.6,11.8,.490,14.9,36.0,.247
282,Southern California,33,16,17,.485,12.45,11.05,,7,13,,12,7,,3,7,,2537,2491,,69.1,110.4,.364,.347,.581,49.3,56.9,9.1,8.4,.546,15.7,28.2,.272
283,Southern Illinois,33,14,19,.424,-2.17,1.12,,8,12,,7,8,,5,7,,2405,2458,,68.4,105.7,.338,.333,.546,51.7,53.4,9.1,8.5,.520,15.8,30.3,.228
284,SIU Edwardsville NCAA,33,22,11,.667,-5.85,-8.48,,13,7,,12,3,,7,8,,2396,2182,,67.9,106.1,.322,.365,.525,52.0,52.5,9.8,11.4,.496,14.1,32.3,.218
285,Southern Indiana,30,10,20,.333,-13.67,-8.21,,5,15,,8,7,,2,13,,2144,2204,,68.5,103.0,.303,.344,.523,49.2,44.8,9.7,7.6,.488,14.6,29.0,.221
286,Southern Methodist,33,23,10,.697,14.93,6.02,,13,7,,12,5,,7,4,,2641,2347,,69.1,115.8,.367,.351,.578,53.9,55.1,11.5,10.3,.547,14.8,36.7,.264
287,Southern Mississippi,33,11,22,.333,-9.86,-3.28,,5,13,,9,6,,1,13,,2352,2507,,71.4,99.0,.334,.367,.520,50.0,56.5,9.6,11.3,.486,16.9,28.7,.231
288,Southern Utah,31,12,19,.387,-10.27,-1.77,,4,12,,8,7,,3,11,,2163,2285,,70.8,98.5,.357,.326,.518,50.5,48.9,7.2,9.8,.476,17.7,31.0,.261
289,St. Bonaventure,33,22,11,.667,4.15,0.61,,9,9,,12,3,,7,6,,2278,2143,,65.2,105.5,.303,.349,.536,51.0,43.6,11.4,11.2,.502,13.9,28.5,.222
290,St. John's (NY) NCAA,34,30,4,.882,21.76,8.93,,18,2,,18,0,,8,2,,2676,2240,,70.4,110.2,.302,.303,.525,53.9,53.7,12.8,15.1,.497,12.9,37.3,.208
291,St. Thomas,34,24,10,.706,1.33,-4.19,,12,4,,14,0,,7,8,,2827,2544,,69.8,118.8,.336,.462,.615,47.2,53.6,10.2,9.4,.582,12.3,22.8,.262
292,Stanford,33,20,13,.606,9.13,6.71,,11,9,,16,2,,3,8,,2409,2329,,67.0,109.0,.297,.414,.544,50.7,54.1,10.4,9.6,.504,13.6,31.1,.234
293,Stephen F. Austin,31,14,17,.452,-8.14,-3.43,,7,13,,8,8,,6,9,,2065,2118,,68.2,96.5,.319,.368,.501,51.4,51.3,12.1,11.5,.475,19.0,35.8,.202
294,Stetson,32,8,24,.250,-16.20,-4.20,,6,12,,5,9,,3,11,,2293,2608,,69.5,102.4,.338,.379,.546,46.5,46.7,7.4,8.1,.509,16.5,25.0,.249
295,Stonehill,32,15,17,.469,-12.87,-9.30,,7,9,,11,3,,3,13,,2198,2242,,66.3,103.7,.319,.445,.546,49.8,60.7,9.7,7.0,.513,16.2,27.5,.231
296,Stony Brook,32,8,24,.250,-13.57,-4.15,,4,14,,5,9,,3,13,,2128,2372,,64.9,102.5,.311,.392,.520,48.8,48.8,7.9,6.3,.480,15.5,29.8,.232
297,Syracuse,33,14,19,.424,5.32,8.41,,7,13,,11,6,,2,9,,2464,2566,,68.7,106.3,.331,.327,.542,52.7,49.9,6.9,6.8,.510,15.4,31.4,.234
298,Tarleton State,32,12,20,.375,-9.96,0.04,,7,9,,10,3,,1,14,,2025,2227,,68.5,92.4,.422,.253,.523,48.9,48.5,13.7,12.2,.473,22.5,30.7,.309
299,TCU,32,16,16,.500,10.89,12.05,,9,11,,14,3,,2,9,,2162,2199,,67.1,100.3,.335,.347,.497,50.6,49.9,11.3,10.7,.468,14.6,33.0,.217
300,Temple,32,17,15,.531,0.08,-0.05,,9,9,,12,2,,3,9,,2520,2487,,69.4,110.9,.452,.318,.553,50.7,41.3,9.0,9.5,.506,13.4,31.9,.333
301,Tennessee NCAA,34,27,7,.794,24.86,13.15,,12,6,,16,1,,6,5,,2541,2143,,65.5,114.2,.354,.430,.565,53.6,60.2,10.6,16.1,.528,13.7,35.4,.263
302,Tennessee State,33,17,16,.515,-7.87,-8.57,,12,8,,12,3,,4,10,,2577,2418,,71.6,106.6,.404,.343,.550,54.2,48.4,9.8,9.9,.519,17.8,36.3,.275
303,Tennessee Tech,32,15,17,.469,-10.86,-7.60,,10,10,,9,5,,5,10,,2308,2371,,69.0,103.8,.290,.469,.541,47.0,60.0,9.1,6.5,.515,14.9,24.2,.202
304,Tennessee-Martin,33,14,19,.424,-10.99,-7.99,,9,11,,8,5,,5,12,,2455,2373,,68.0,107.0,.342,.475,.529,53.0,53.5,11.6,9.5,.495,15.7,35.9,.239
305,Texas NCAA,34,19,15,.559,16.18,9.98,,6,12,,11,7,,4,6,,2667,2456,,68.4,113.0,.366,.354,.565,50.6,47.5,9.1,11.7,.525,12.5,29.8,.274
306,Texas A&M NCAA,32,22,10,.688,20.04,13.66,,11,7,,13,3,,5,5,,2378,2174,,67.5,109.3,.417,.376,.517,56.3,47.7,11.1,13.9,.475,14.7,42.0,.290
307,Texas A&M-Corpus Christi,34,20,14,.588,-1.05,-3.45,,12,8,,15,2,,4,11,,2576,2291,,68.5,110.5,.354,.294,.558,53.0,52.6,11.5,10.3,.540,15.0,33.7,.223
308,Texas Southern,32,15,17,.469,-10.04,-8.01,,12,6,,9,4,,6,12,,2325,2307,,71.6,100.7,.281,.353,.520,49.1,51.8,11.9,9.6,.488,16.6,30.8,.203
309,Texas State,32,16,16,.500,-3.52,-3.68,,9,9,,10,4,,4,10,,2439,2346,,67.2,110.9,.364,.277,.556,53.0,53.6,10.3,11.1,.515,15.2,35.8,.276
310,Texas Tech NCAA,33,25,8,.758,23.90,10.57,,15,5,,15,3,,8,2,,2670,2230,,66.4,120.0,.297,.446,.585,53.2,58.5,9.7,8.1,.555,12.6,34.3,.227
311,Texas-Rio Grande Valley,31,16,15,.516,-6.14,-3.48,,8,12,,12,4,,2,11,,2378,2294,,71.5,107.4,.220,.507,.548,50.2,61.2,10.6,7.0,.527,16.1,31.7,.156
312,The Citadel,30,5,25,.167,-18.30,-4.41,,0,18,,5,12,,0,12,,1997,2251,,66.3,99.1,.345,.455,.509,48.5,52.1,8.9,6.1,.486,16.1,28.8,.213
313,Toledo,33,18,15,.545,-5.95,-2.70,,10,8,,9,4,,6,9,,2603,2645,,69.6,113.0,.354,.284,.552,49.3,46.7,7.7,7.2,.512,11.6,30.4,.265
314,Towson,33,22,11,.667,-1.69,-3.34,,16,2,,12,1,,9,5,,2309,2201,,64.1,108.0,.283,.377,.512,52.6,42.0,10.0,9.9,.484,12.0,35.3,.193
315,Troy NCAA,33,23,10,.697,3.61,-2.85,,13,5,,11,4,,9,6,,2438,2159,,67.5,109.5,.387,.447,.545,53.9,55.4,14.0,13.2,.505,16.6,39.5,.279
316,Tulane,33,19,14,.576,2.02,-0.95,,12,6,,14,3,,4,7,,2473,2304,,68.0,109.8,.356,.396,.562,49.3,57.3,10.6,13.5,.522,13.9,27.7,.271
317,Tulsa,33,13,20,.394,-5.69,-1.66,,6,12,,8,9,,3,8,,2352,2430,,67.6,103.8,.338,.426,.531,49.1,54.3,8.9,6.9,.503,14.5,27.3,.225
318,UAB,34,22,12,.647,4.41,-0.71,,13,5,,14,4,,5,5,,2806,2592,,70.2,117.2,.311,.297,.549,53.8,53.5,9.6,10.6,.511,11.7,38.9,.237
319,UC Davis,32,15,17,.469,-5.91,-1.01,,9,11,,8,6,,7,10,,2175,2249,,68.6,98.6,.376,.350,.517,47.7,48.0,11.4,10.4,.470,16.8,28.9,.279
320,UC Irvine,34,28,6,.824,8.06,-1.00,,17,3,,10,2,,14,3,,2580,2251,,69.7,107.6,.369,.347,.566,53.1,61.2,9.6,9.1,.516,16.0,28.4,.297
321,UC Riverside,33,21,12,.636,-0.26,0.38,,14,6,,14,1,,7,10,,2480,2449,,68.0,108.8,.275,.428,.533,51.8,49.0,7.9,6.8,.499,13.6,33.4,.208
322,UC San Diego NCAA,34,30,4,.882,13.02,-2.07,,18,2,,13,2,,12,2,,2712,2095,,67.4,118.3,.325,.504,.588,49.8,58.3,14.7,7.3,.558,11.4,26.8,.242
323,UC Santa Barbara,34,21,13,.618,0.77,-3.01,,11,9,,12,5,,7,7,,2527,2340,,66.9,111.0,.302,.472,.584,50.6,58.1,9.0,8.7,.553,16.1,27.7,.231
324,UCF,33,17,16,.515,10.69,11.51,,7,13,,13,5,,2,8,,2617,2644,,72.7,107.4,.363,.413,.541,48.8,53.0,10.6,11.1,.494,14.7,32.4,.282
325,UCLA NCAA,32,22,10,.688,19.22,10.19,,13,7,,15,2,,5,5,,2392,2103,,66.6,112.3,.329,.360,.558,51.2,60.5,12.2,10.5,.530,13.7,32.8,.232
326,UNC Asheville,32,21,11,.656,-5.11,-4.47,,11,5,,13,1,,6,9,,2630,2450,,70.8,114.8,.344,.367,.567,49.1,47.7,10.5,11.7,.537,12.6,31.3,.246
327,UNC Greensboro,32,20,12,.625,-0.88,-4.02,,13,5,,11,3,,8,6,,2332,2092,,65.2,111.8,.296,.427,.553,51.9,50.9,9.2,8.7,.522,13.0,31.8,.217
328,UNC Wilmington NCAA,34,27,7,.794,2.31,-4.50,,14,4,,15,3,,9,4,,2699,2377,,67.2,116.8,.374,.365,.572,55.2,54.8,9.6,10.4,.533,13.6,36.7,.280
329,UT Arlington,31,13,18,.419,-5.24,-2.51,,6,10,,9,4,,3,11,,2302,2320,,69.1,106.1,.367,.423,.547,50.8,54.6,8.5,8.0,.521,16.6,33.1,.243
330,Utah,32,16,16,.500,11.94,8.84,,8,12,,15,4,,1,9,,2409,2310,,69.1,108.5,.370,.438,.540,53.6,66.4,9.2,10.2,.517,15.2,34.9,.236
331,Utah State NCAA,33,26,7,.788,14.46,5.21,,15,5,,15,2,,7,4,,2669,2309,,67.5,119.8,.375,.425,.593,52.3,61.4,12.8,9.1,.567,13.6,34.9,.263
332,Utah Tech,33,7,26,.212,-9.89,-1.25,,2,14,,5,8,,0,16,,2305,2508,,69.3,100.5,.331,.387,.522,47.6,51.6,9.3,8.2,.489,15.9,28.0,.230
333,Utah Valley,33,25,8,.758,2.30,-3.38,,15,1,,12,0,,10,6,,2514,2243,,69.2,109.2,.412,.313,.556,53.6,58.6,9.4,14.5,.523,15.1,31.7,.284
334,UTEP,33,18,15,.545,-0.30,0.67,,7,11,,11,5,,4,8,,2392,2335,,69.5,103.9,.373,.365,.541,46.0,52.6,14.6,9.2,.503,15.0,25.6,.267
335,UTSA,31,12,19,.387,-2.33,0.74,,6,12,,7,7,,4,11,,2378,2382,,70.4,108.1,.287,.442,.543,46.0,48.2,13.4,10.0,.503,13.4,28.8,.227
336,Valparaiso,34,15,19,.441,-2.86,-0.08,,6,14,,10,7,,3,10,,2539,2513,,68.5,107.8,.328,.383,.537,49.2,46.8,8.4,10.3,.491,12.3,27.4,.259
337,Vanderbilt NCAA,32,20,12,.625,15.02,10.18,,8,10,,14,3,,3,7,,2548,2393,,70.2,113.0,.340,.402,.554,50.3,50.1,12.8,11.4,.517,12.6,32.2,.254
338,Vermont,33,21,12,.636,-7.79,-7.34,,13,3,,13,3,,7,8,,2199,2106,,64.4,103.4,.304,.433,.537,50.8,51.3,8.7,13.0,.505,15.3,26.8,.219
339,Villanova,33,19,14,.576,13.33,7.45,,11,9,,14,3,,3,8,,2421,2227,,63.5,115.5,.289,.436,.584,52.3,49.0,8.9,7.8,.549,13.7,30.2,.231
340,Virginia,32,15,17,.469,6.11,8.11,,8,12,,10,7,,4,7,,2073,2137,,61.6,105.1,.264,.428,.556,47.1,63.6,8.9,11.3,.527,14.8,22.4,.199
341,Virginia Commonwealth NCAA,34,28,6,.824,15.17,1.35,,15,3,,15,1,,7,3,,2622,2121,,66.7,115.2,.328,.476,.560,53.5,56.4,12.1,15.6,.525,14.1,37.1,.244
342,VMI,34,15,19,.441,-11.12,-4.76,,7,11,,7,7,,5,10,,2492,2487,,68.8,106.1,.352,.477,.546,48.9,51.3,11.5,8.2,.504,15.2,28.3,.268
343,Virginia Tech,32,13,19,.406,2.99,6.99,,8,12,,8,9,,5,5,,2213,2341,,66.1,103.5,.308,.404,.543,50.9,51.5,8.1,5.8,.512,17.4,31.0,.220
344,Wagner,30,14,16,.467,-15.47,-10.00,,6,10,,8,6,,6,10,,1874,1818,,61.8,99.9,.295,.379,.503,53.6,57.0,11.3,5.8,.469,15.9,32.6,.209
345,Wake Forest,32,21,11,.656,9.90,7.75,,13,7,,13,3,,6,6,,2246,2177,,67.9,103.4,.361,.352,.538,48.3,45.8,10.6,12.7,.494,14.8,26.8,.273
346,Washington,31,13,18,.419,6.23,10.73,,4,16,,9,9,,2,9,,2219,2339,,68.6,103.4,.352,.357,.537,48.9,50.6,9.3,10.5,.506,15.3,27.6,.240
347,Washington State,33,19,14,.576,4.88,4.43,,8,10,,10,4,,4,7,,2601,2586,,71.5,109.8,.324,.415,.589,50.1,59.3,8.9,13.0,.567,18.0,31.3,.226
348,Weber State,34,12,22,.353,-9.30,-2.81,,5,13,,5,10,,4,11,,2443,2443,,66.9,106.6,.343,.382,.552,49.3,44.9,9.6,7.4,.521,14.4,25.5,.241
349,West Georgia,31,6,25,.194,-15.08,-4.01,,4,14,,4,8,,2,15,,2140,2426,,69.3,99.6,.286,.301,.510,47.4,52.1,10.1,9.2,.480,14.3,26.2,.198
350,West Virginia,32,19,13,.594,15.28,11.94,,10,10,,13,4,,4,7,,2181,2074,,65.2,102.9,.256,.461,.528,47.6,56.5,11.4,11.6,.500,14.3,25.9,.185
351,Western Carolina,30,8,22,.267,-15.73,-2.24,,4,14,,7,7,,1,14,,2090,2371,,71.6,96.1,.277,.488,.505,49.5,50.3,7.3,8.7,.468,16.9,27.0,.207
352,Western Illinois,31,12,19,.387,-15.07,-8.35,,6,14,,8,7,,4,11,,2130,2211,,65.5,104.1,.275,.376,.536,50.4,41.0,8.2,9.8,.511,15.8,30.2,.190
353,Western Kentucky,32,17,15,.531,-0.21,1.29,,8,10,,13,5,,4,9,,2395,2392,,72.9,102.3,.309,.399,.523,47.8,45.3,11.1,7.9,.488,13.3,23.9,.224
354,Western Michigan,32,12,20,.375,-9.43,-4.04,,9,9,,6,9,,6,10,,2306,2433,,69.4,103.8,.309,.332,.504,52.0,46.8,10.0,6.8,.474,13.3,34.3,.208
355,Wichita State,33,19,14,.576,2.78,1.97,,8,10,,11,6,,5,6,,2437,2396,,69.3,105.8,.354,.283,.530,52.3,44.2,9.7,11.7,.490,14.3,32.3,.257
356,William & Mary,32,17,15,.531,-5.99,-3.99,,11,7,,12,2,,4,11,,2487,2445,,71.2,109.1,.348,.517,.574,49.0,62.8,10.2,5.2,.544,15.8,26.9,.251
357,Winthrop,34,23,11,.676,-1.45,-3.93,,11,5,,16,2,,5,8,,2879,2651,,74.1,113.1,.470,.390,.570,51.6,44.9,10.6,8.8,.540,15.0,33.4,.314
358,Wisconsin NCAA,35,26,9,.743,20.94,11.65,,13,7,,14,3,,6,5,,2790,2465,,68.6,115.7,.338,.481,.582,51.8,54.9,7.5,6.1,.536,12.4,28.0,.279
359,Wofford NCAA,34,19,15,.559,-0.28,-3.03,,10,8,,7,6,,8,8,,2561,2374,,65.3,114.4,.307,.480,.555,55.5,56.0,9.2,8.7,.535,13.9,37.0,.203
360,Wright State,33,15,18,.455,-4.91,-3.81,,8,12,,11,4,,3,12,,2551,2520,,68.1,112.2,.270,.377,.586,51.4,52.7,8.3,8.2,.566,15.6,29.0,.191
361,Wyoming,32,12,20,.375,-0.29,4.58,,5,15,,8,7,,3,10,,2149,2277,,65.7,101.8,.300,.399,.529,51.5,47.9,6.7,8.2,.506,16.9,30.7,.196
362,Xavier NCAA,32,21,11,.656,15.56,8.41,,13,7,,15,2,,5,7,,2497,2268,,69.4,111.5,.372,.374,.584,51.0,63.9,11.0,7.2,.539,14.4,25.2,.295
363,Yale NCAA,29,22,7,.759,6.78,-3.65,,13,1,,11,0,,7,6,,2368,2022,,68.9,118.5,.315,.322,.581,55.1,54.5,8.4,12.0,.553,12.4,33.5,.231
364,Youngstown State,34,21,13,.618,-3.88,-5.01,,13,7,,10,5,,9,6,,2599,2446,,70.6,107.5,.358,.461,.548,50.5,53.1,9.8,13.2,.510,14.9,30.9,.262